# Start Position | End Position | Favorability of Route # 
[49, 36] | [49, 37] | 0.23289072104417974 
[49, 37] | [50, 37] | 0.23370522845097308 
[50, 37] | [51, 37] | 0.2333904350931194 
[51, 37] | [52, 37] | 0.23412954485185775 
[52, 37] | [52, 38] | 0.23419650421100885 
[52, 38] | [53, 38] | 0.2341734869173083 
[53, 38] | [54, 38] | 0.2574561269678723 
[54, 38] | [55, 38] | 0.2578573264038728 
[55, 38] | [56, 38] | 0.25826622646487224 
[56, 38] | [56, 39] | 0.25838640523656253 
[56, 39] | [56, 40] | 0.2585084271427396 
[56, 40] | [57, 40] | 0.2579443033773917 
[57, 40] | [57, 41] | 0.25861169122121064 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.25083745475888247 
[58, 41] | [59, 41] | 0.25641190050271795 
[59, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
[58, 41] | [57, 41] | 0.25920965559466264 
[57, 41] | [58, 41] | 0.2585979179492163 
